"Date","Price","Open","High","Low","Change %"
"Aug 12, 1998","5.3060","5.3060","5.3060","5.3060","0.00%"
"Aug 11, 1998","5.3060","5.3060","5.3060","5.3060","-0.64%"
"Aug 10, 1998","5.3400","5.3400","5.3400","5.3400","0.32%"
"Aug 07, 1998","5.3230","5.3230","5.3230","5.3230","-1.26%"
"Aug 06, 1998","5.3910","5.3910","5.3910","5.3910","-0.31%"
"Aug 05, 1998","5.4080","5.4080","5.4080","5.4080","0.32%"
"Aug 04, 1998","5.3910","5.3910","5.3910","5.3910","-1.25%"
"Aug 03, 1998","5.4590","5.4590","5.4590","5.4590","-0.60%"
"Jul 31, 1998","5.4920","5.4920","5.4920","5.4920","0.00%"
"Jul 30, 1998","5.4920","5.4920","5.4920","5.4920","-0.34%"
"Jul 29, 1998","5.5110","5.5110","5.5110","5.5110","0.64%"
"Jul 28, 1998","5.4760","5.4760","5.4760","5.4760","0.00%"
"Jul 27, 1998","5.4760","5.4760","5.4760","5.4760","0.00%"
"Jul 24, 1998","5.4760","5.4760","5.4760","5.4760","0.31%"
"Jul 23, 1998","5.4590","5.4590","5.4590","5.4590","-0.31%"
"Jul 22, 1998","5.4760","5.4760","5.4760","5.4760","0.31%"
"Jul 21, 1998","5.4590","5.4590","5.4590","5.4590","0.00%"
"Jul 20, 1998","5.4590","5.4590","5.4590","5.4590","-0.31%"
"Jul 17, 1998","5.4760","5.4760","5.4760","5.4760","0.31%"
"Jul 16, 1998","5.4590","5.4590","5.4590","5.4590","0.31%"
"Jul 15, 1998","5.4420","5.4420","5.4420","5.4420","-0.31%"
"Jul 14, 1998","5.4590","5.4590","5.4590","5.4590","0.00%"
"Jul 13, 1998","5.4590","5.4590","5.4590","5.4590","0.94%"
"Jul 10, 1998","5.4080","5.4080","5.4080","5.4080","-0.31%"
"Jul 09, 1998","5.4250","5.4250","5.4250","5.4250","-0.31%"
"Jul 08, 1998","5.4420","5.4420","5.4420","5.4420","0.00%"
"Jul 07, 1998","5.4420","5.4420","5.4420","5.4420","0.31%"
"Jul 06, 1998","5.4250","5.4250","5.4250","5.4250","-0.31%"
"Jul 02, 1998","5.4420","5.4420","5.4420","5.4420","-0.31%"
"Jul 01, 1998","5.4590","5.4590","5.4590","5.4590","-0.29%"
"Jun 30, 1998","5.4750","5.4750","5.4750","5.4750","-0.62%"
"Jun 29, 1998","5.5090","5.5090","5.5090","5.5090","0.00%"
"Jun 26, 1998","5.5090","5.5090","5.5090","5.5090","0.00%"
"Jun 25, 1998","5.5090","5.5090","5.5090","5.5090","0.00%"
"Jun 24, 1998","5.5090","5.5090","5.5090","5.5090","1.87%"
"Jun 23, 1998","5.4080","5.4080","5.4080","5.4080","-1.94%"
"Jun 22, 1998","5.5150","5.5150","5.5150","5.5150","0.00%"
"Jun 19, 1998","5.5150","5.5150","5.5150","5.5150","-0.63%"
"Jun 18, 1998","5.5500","5.5500","5.5500","5.5500","0.31%"
"Jun 17, 1998","5.5330","5.5330","5.5330","5.5330","0.31%"
"Jun 16, 1998","5.5160","5.5160","5.5160","5.5160","2.22%"
"Jun 15, 1998","5.3960","5.3960","5.3960","5.3960","-0.95%"
"Jun 12, 1998","5.4480","5.4480","5.4480","5.4480","0.00%"
"Jun 11, 1998","5.4480","5.4480","5.4480","5.4480","-1.54%"
"Jun 10, 1998","5.5330","5.5330","5.5330","5.5330","-1.51%"
"Jun 09, 1998","5.6180","5.6180","5.6180","5.6180","0.61%"
"Jun 08, 1998","5.5840","5.5840","5.5840","5.5840","0.00%"
"Jun 05, 1998","5.5840","5.5840","5.5840","5.5840","0.31%"
"Jun 04, 1998","5.5670","5.5670","5.5670","5.5670","0.61%"
"Jun 03, 1998","5.5330","5.5330","5.5330","5.5330","0.00%"
"Jun 02, 1998","5.5330","5.5330","5.5330","5.5330","0.29%"
"Jun 01, 1998","5.5170","5.5170","5.5170","5.5170","-0.31%"
"May 29, 1998","5.5340","5.5340","5.5340","5.5340","-0.29%"
"May 28, 1998","5.5500","5.5500","5.5500","5.5500","1.52%"
"May 27, 1998","5.4670","5.4670","5.4670","5.4670","-2.17%"
"May 26, 1998","5.5880","5.5880","5.5880","5.5880","-0.60%"
"May 22, 1998","5.6220","5.6220","5.6220","5.6220","-0.02%"
"May 21, 1998","5.6230","5.6230","5.6230","5.6230","0.93%"
"May 20, 1998","5.5710","5.5710","5.5710","5.5710","-0.32%"
"May 19, 1998","5.5890","5.5890","5.5890","5.5890","0.00%"
"May 18, 1998","5.5890","5.5890","5.5890","5.5890","-0.60%"
"May 15, 1998","5.6230","5.6230","5.6230","5.6230","0.00%"
"May 14, 1998","5.6230","5.6230","5.6230","5.6230","0.61%"
"May 13, 1998","5.5890","5.5890","5.5890","5.5890","-0.32%"
"May 12, 1998","5.6070","5.6070","5.6070","5.6070","-0.90%"
"May 11, 1998","5.6580","5.6580","5.6580","5.6580","1.22%"
"May 08, 1998","5.5900","5.5900","5.5900","5.5900","0.59%"
"May 07, 1998","5.5570","5.5570","5.5570","5.5570","0.31%"
"May 06, 1998","5.5400","5.5400","5.5400","5.5400","-1.49%"
"May 05, 1998","5.6240","5.6240","5.6240","5.6240","0.90%"
"May 04, 1998","5.5740","5.5740","5.5740","5.5740","0.00%"
"May 01, 1998","5.5740","5.5740","5.5740","5.5740","-2.36%"
"Apr 30, 1998","5.7090","5.7090","5.7090","5.7090","0.00%"
"Apr 29, 1998","5.7090","5.7090","5.7090","5.7090","0.05%"
"Apr 28, 1998","5.7060","5.7060","5.7060","5.7060","0.32%"
"Apr 27, 1998","5.6880","5.6880","5.6880","5.6880","1.86%"
"Apr 24, 1998","5.5840","5.5840","5.5840","5.5840","-0.62%"
"Apr 23, 1998","5.6190","5.6190","5.6190","5.6190","0.32%"
"Apr 22, 1998","5.6010","5.6010","5.6010","5.6010","0.00%"
"Apr 21, 1998","5.6010","5.6010","5.6010","5.6010","0.61%"
"Apr 20, 1998","5.5670","5.5670","5.5670","5.5670","0.94%"
"Apr 17, 1998","5.5150","5.5150","5.5150","5.5150","0.00%"
"Apr 16, 1998","5.5150","5.5150","5.5150","5.5150","-0.33%"
"Apr 15, 1998","5.5330","5.5330","5.5330","5.5330","-0.31%"
"Apr 14, 1998","5.5500","5.5500","5.5500","5.5500","-0.31%"
"Apr 13, 1998","5.5670","5.5670","5.5670","5.5670","1.24%"
"Apr 09, 1998","5.4990","5.4990","5.4990","5.4990","0.62%"
"Apr 08, 1998","5.4650","5.4650","5.4650","5.4650","0.29%"
"Apr 07, 1998","5.4490","5.4490","5.4490","5.4490","0.00%"
"Apr 06, 1998","5.4490","5.4490","5.4490","5.4490","0.31%"
"Apr 03, 1998","5.4320","5.4320","5.4320","5.4320","-1.52%"
"Apr 02, 1998","5.5160","5.5160","5.5160","5.5160","-0.31%"
"Apr 01, 1998","5.5330","5.5330","5.5330","5.5330","-0.61%"
"Mar 31, 1998","5.5670","5.5670","5.5670","5.5670","-1.19%"
"Mar 30, 1998","5.6340","5.6340","5.6340","5.6340","0.00%"
"Mar 27, 1998","5.6340","5.6340","5.6340","5.6340","0.00%"
"Mar 26, 1998","5.6340","5.6340","5.6340","5.6340","0.90%"
"Mar 25, 1998","5.5840","5.5840","5.5840","5.5840","0.94%"
"Mar 24, 1998","5.5320","5.5320","5.5320","5.5320","0.00%"
